12;1234;9658;10;99999;4
12;1234;9658;121902;789;4
12;1234;9658;10;789;4
12;1234;9658;10;789;4
10;789;9635;20;678;8
20;678;987;12;1234;5
456;96;800;20;678;3
12;1234;4321;10;789;8
77;333;2353;77;333;4
12;1234;93658;10;789;4
10;789;96435;20;678;8
20;678;9837;12;1234;5
456;96;8040;20;678;3
12;1234;43321;10;789;8
77;333;23543;77;333;4
45;532;96548;67;6782;4
54;6232;96325;20;678;8
98;7892;2987;12;1234;5
100;12322;8300;20;678;3
123;12122;421321;10;789;8
543;12342;232153;77;333;4
12;1234;96358;10;789;4
10;789;96325;20;678;8
20;678;98732;12;1234;5
456;96;8002;20;678;3
12;1234;43321;10;789;8
77;333;23533;77;333;4
12;1234;936358;10;789;4
10;789;964353;20;678;8
20;678;98357;12;1234;5
456;96;80430;20;678;3
12;1234;432321;10;789;8
77;333;235543;77;333;4
45;532;965348;67;6782;4
54;6232;963425;20;678;8
98;7892;29837;12;1234;5
100;12322;82300;20;678;3
123;12122;42341321;10;789;8
543;12342;23213253;77;333;4
12;1234;96358;10;789;4
10;789;96352;20;678;8
20;678;987;12;1234;5
456;96;800;220;678;3
12;1234;43213;10;789;8
77;333;235323;77;333;4
12;1234;936582;10;789;4
10;789;964353;20;678;8
20;678;9837;123;1234;5
456;96;80403;20;678;3
12;1234;43321;10;789;8
77;333;23543;7;333;4
45;532;965438;67;6782;4
54;6232;963255;20;678;8
98;7892;2987;132;1234;5
100;12322;830;20;678;3
123;12122;421321;10;789;8
543;12342;2222153;77;333;4
12;1234;96958;10;789;4
10;789;96359;20;678;8
20;678;9878;12;1234;5
456;96;8009;20;678;3
12;1234;43821;10;789;8
77;333;23593;77;333;4
12;1234;939658;10;789;4
10;789;964385;20;678;8
20;678;98397;12;1234;5
456;96;80490;20;678;3
12;1234;439321;10;789;8
77;333;235493;77;333;4
45;532;965498;67;6782;4
54;6232;9639825;20;678;8
98;7892;298789;12;1234;5
100;12322;899300;20;678;3
123;12122;42198321;10;789;8
543;12342;23218953;77;333;4
